file,line,kind,arg,cat,expr
"Assets/DragonBound/Runtime/Presentation/FixedBoardCanvasView.cs",873,"Transform.Find","ART_CenterDivider","运行时",": terrainLayer.Find(""ART_CenterDivider"") as RectTransform;"
"Assets/DragonBound/Runtime/Presentation/GreyboxBoardView.cs",2109,"Transform.Find","ART_ScreenBackground/BeachContainer","运行时","? screen.transform.Find(""ART_ScreenBackground/BeachContainer"")"
"Assets/DragonBound/Runtime/Presentation/GreyboxBoardView.cs",2121,"GetChild","childIndex","运行时","var slot = beachContainer.GetChild(childIndex) as RectTransform;"
"Assets/DragonBound/Runtime/Presentation/GreyboxBoardView.cs",2133,"Transform.Find","BeachItem","运行时","var beachItem = slot.Find(""BeachItem"");"
"Assets/DragonBound/Runtime/Presentation/GreyboxBoardView.cs",2157,"Transform.Find","Text (TMP)","运行时","var nameTransform = beachItem.Find(""Text (TMP)"");"
"Assets/DragonBound/Runtime/Presentation/GreyboxBoardView.cs",2158,"Transform.Find","Text","运行时","var levelTransform = beachItem.Find(""Text"");"
"Assets/DragonBound/Runtime/Presentation/GreyboxBoardView.cs",2159,"Transform.Find","Image","运行时","var artTransform = beachItem.Find(""Image"");"
"Assets/DragonBound/Runtime/Presentation/GreyboxBoardView.cs",2270,"Transform.Find","Select","运行时","var selection = cellView.transform.Find(""Select"")?.gameObject;"
"Assets/DragonBound/Runtime/Presentation/GreyboxHudView.cs",302,"Transform.Find","ART_ScreenBackground","运行时","? screen.transform.Find(""ART_ScreenBackground"")"
"Assets/DragonBound/Runtime/Presentation/GreyboxHudView.cs",311,"Transform.Find","ItemContainer","运行时","var authoredItemContainer = screen.transform.Find(""ItemContainer"");"
"Assets/DragonBound/Runtime/Presentation/GreyboxHudView.cs",323,"Transform.Find","Active","运行时","var authoredActiveContainer = authoredItemContainer?.Find(""Active"");"
"Assets/DragonBound/Runtime/Presentation/GreyboxHudView.cs",327,"Transform.Find","Active","运行时","authoredActiveContainer.Find(""Active"")?.GetComponent<Button>() ??"
"Assets/DragonBound/Runtime/Presentation/GreyboxHudView.cs",328,"Transform.Find","Active0","运行时","authoredActiveContainer.Find(""Active0"")?.GetComponent<Button>();"
"Assets/DragonBound/Runtime/Presentation/GreyboxHudView.cs",330,"Transform.Find","Active1","运行时","authoredActiveContainer.Find(""Active1"")?.GetComponent<Button>();"
"Assets/DragonBound/Runtime/Presentation/GreyboxHudView.cs",345,"Transform.Find","ActiveItemContainer","运行时","activeItemContainer = background.Find(""ActiveItemContainer"") as RectTransform;"
"Assets/DragonBound/Runtime/Presentation/GreyboxHudView.cs",352,"Transform.Find","ResourceLabel","运行时","var authoredResourceLabel = background.Find(""ResourceLabel"")?.GetComponent<Text>();"
"Assets/DragonBound/Runtime/Presentation/GreyboxHudView.cs",358,"Transform.Find","WaveLabel","运行时","var authoredWaveLabel = background.Find(""WaveLabel"")?.GetComponent<Text>();"
"Assets/DragonBound/Runtime/Presentation/GreyboxHudView.cs",364,"Transform.Find","ART_PauseButton","运行时","var authoredButton = background.Find(""ART_PauseButton"")?.GetComponent<Button>();"
"Assets/DragonBound/Runtime/Presentation/GreyboxHudView.cs",368,"Transform.Find","PauseLabel","运行时","pauseLabel = authoredButton.transform.Find(""PauseLabel"")?.GetComponent<Text>();"
"Assets/DragonBound/Runtime/Presentation/GreyboxHudView.cs",374,"Transform.Find","PausePanel","运行时","var authoredPanel = screen.transform.Find(""PausePanel"") ??"
"Assets/DragonBound/Runtime/Presentation/GreyboxHudView.cs",375,"Transform.Find","PausePanel","运行时","background.Find(""PausePanel"");"
"Assets/DragonBound/Runtime/Presentation/GreyboxHudView.cs",382,"Transform.Find","Bg/PauseBtn","运行时","finishMatchButton = authoredPanel.Find(""Bg/PauseBtn"")?.GetComponent<Button>();"
"Assets/DragonBound/Runtime/Presentation/GreyboxHudView.cs",383,"Transform.Find","Bg/ContinueBtn","运行时","continueButton = authoredPanel.Find(""Bg/ContinueBtn"")?.GetComponent<Button>();"
"Assets/DragonBound/Runtime/Presentation/GreyboxHudView.cs",387,"Transform.Find","SettlementPanel","运行时","var authoredSettlement = screen.transform.Find(""SettlementPanel"");"
"Assets/DragonBound/Runtime/Presentation/GreyboxHudView.cs",391,"Transform.Find","SettleImg","运行时","settlementResultImage = authoredSettlement.Find(""SettleImg"")?.GetComponent<Image>();"
"Assets/DragonBound/Runtime/Presentation/GreyboxHudView.cs",395,"Transform.Find","BossWarning","运行时","var authoredBossWarning = screen.transform.Find(""BossWarning"");"
"Assets/DragonBound/Runtime/Presentation/GreyboxHudView.cs",399,"Transform.Find","ConfirmBtn","运行时","bossWarningConfirmButton = authoredBossWarning.Find(""ConfirmBtn"")?.GetComponent<Button>();"
"Assets/DragonBound/Runtime/Presentation/GreyboxHudView.cs",403,"Transform.Find","Debug","运行时","var debugRoot = background.Find(""Debug"");"
"Assets/DragonBound/Runtime/Presentation/GreyboxHudView.cs",406,"Transform.Find","DebugLabel","运行时","var authoredDebugLabel = debugRoot.Find(""DebugLabel"")?.GetComponent<Text>();"
"Assets/DragonBound/Runtime/Presentation/GreyboxHudView.cs",412,"Transform.Find","EnemyDebugLabel","运行时","var authoredEnemyDebugLabel = debugRoot.Find(""EnemyDebugLabel"")?.GetComponent<Text>();"
"Assets/DragonBound/Runtime/Presentation/GreyboxHudView.cs",1814,"Transform.Find","CooldownMask","运行时","var existing = slot.Find(""CooldownMask"")?.GetComponent<Image>();"
"Assets/DragonBound/Runtime/Presentation/GridCellView.cs",52,"Transform.Find","ART_LockOverlay","运行时","var overlay = transform.Find(""ART_LockOverlay"");"
"Assets/DragonBound/Runtime/Presentation/GridCellView.cs",58,"Transform.Find","DebugRangeBandLabel","运行时","var label = transform.Find(""DebugRangeBandLabel"");"
"Assets/DragonBound/Runtime/Presentation/GridCellView.cs",97,"Transform.Find","ART_LockOverlay","运行时","var overlay = transform.Find(""ART_LockOverlay"");"
"Assets/DragonBound/Runtime/Presentation/GridCellView.cs",102,"Transform.Find","DebugRangeBandLabel","运行时","var label = transform.Find(""DebugRangeBandLabel"");"
"Assets/DragonBound/Runtime/Presentation/GridCellView.cs",128,"Transform.Find","ART_CellSurface","运行时","var surface = artImage != null ? artImage.transform : transform.Find(""ART_CellSurface"");"
"Assets/DragonBound/Runtime/Presentation/GridCellView.cs",160,"Transform.Find","ART_LockOverlay","运行时","var overlay = transform.Find(""ART_LockOverlay"");"
"Assets/DragonBound/Runtime/Presentation/GridCellView.cs",357,"Transform.Find","InputReceiver","运行时","var receiver = transform.Find(""InputReceiver"");"
